carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz Mercedes Benz C220 W/S204 evtl Tausch,8.500 €,216.000 km,-1,125 kW (170 PS),Diesel,Schaltgetriebe,-1,05/2012,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz C 180T Automatik // Klimaautomatik // Navi,10.980 €,82.475 km,1.597 cm³,115 kW (156 PS),Benzin,Automatik,-1,10/2009,5,4/5,Euro4,Kombi,2,Unfallfrei
Mercedes-Benz MERCEDES 250CGI TÜV 05/22,8.500 €,201.234 km,-1,150 kW (204 PS),Benzin,Automatik,-1,10/2010,-1,-1,-1,Andere,-1,-1
Mercedes-Benz C 200 CDI Avantgarde BlueEff*Aut.*Comand*PDC*AHK,9.999 €,193.000 km,2.143 cm³,100 kW (136 PS),Diesel,Automatik,-1,07/2011,5,4/5,Euro5,Limousine,-1,-1
Mercedes-Benz E 220 CDI BlueEfficiency*Sportpaket*Navi*Xenon*,9.890 €,213.458 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,11/2011,5,4/5,Euro5,Limousine,2,-1
Mercedes-Benz ML 280 CDI 1.HAND/TEMP/LEDER/SCHIEBEDACH,8.499 €,197.726 km,2.987 cm³,140 kW (190 PS),Diesel,Automatik,-1,09/2006,5,4/5,Euro4,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz Mercedes-Benz C klasse,9.000 €,147.000 km,-1,135 kW (184 PS),Benzin,Automatik,-1,12/2010,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz GLK 320 CDI 4-Matic*Panorama*Kamera*Leder*,9.980 €,219.697 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,06/2008,5,4/5,Euro4,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Citan Kombi Tourer 111 CDI lang|Klima|1-Hnd|EU6,9.999 € (Brutto),98.560 km,1.461 cm³,81 kW (110 PS),Diesel,Schaltgetriebe,-1,01/2016,5,4/5,Euro6,Kombi,1,Unfallfrei
Mercedes-Benz Vito 113 CDI Lang Tempomat/AHK,9.950 €,74.643 km,2.143 cm³,100 kW (136 PS),Diesel,Schaltgetriebe,-1,11/2013,3,4/5,Euro5,Van / Minibus,3,Unfallfrei
"Mercedes-Benz Vito Kombi 116 CDI lang Autom. 9-Sitze,Klima",9.000 € (Brutto),268.200 km,2.143 cm³,120 kW (163 PS),Diesel,Automatik,-1,01/2014,9,4/5,Euro5,Van / Minibus,-1,Unfallfrei
Mercedes-Benz SLK 200*Autom*Leder*Navi*Xenon *,10.800 €,136.000 km,1.796 cm³,120 kW (163 PS),Benzin,Automatik,-1,10/2008,2,2/3,-1,Cabrio / Roadster,2,Unfallfrei
Mercedes-Benz Sprinter Kasten318 319 CDI Automatik Navi Klima,8.300 €,352.110 km,2.987 cm³,135 kW (184 PS),Diesel,Automatik,-1,12/2007,3,4/5,Euro4,Van / Minibus,1,Unfallfrei
Mercedes-Benz E 350 CDI 4-Matic Panorama/ Avantgarde/Airmatic,9.950 €,249.500 km,2.987 cm³,170 kW (231 PS),Diesel,Automatik,-1,10/2009,5,4/5,Euro5,Limousine,-1,-1
Mercedes-Benz C 220 CDI 7G-Tronic BlueEff. Avantgarde* Leder*N,10.850 €,182.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,04/2012,5,4/5,Euro5,Limousine,2,-1
Mercedes-Benz M -Klasse ML 320 CD 4Matic.Automatik,8.999 €,216.000 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,05/2006,5,4/5,Euro4,SUV / Geländewagen / Pickup,-1,Unfallfrei
Mercedes-Benz E 200 T CDI Navi AHK Automatik Xenon PDC,9.890 €,175.099 km,2.148 cm³,100 kW (136 PS),Diesel,Automatik,-1,05/2009,5,4/5,Euro4,Kombi,-1,-1
"Mercedes-Benz E 220 CDI BlueEfficiency Avantgarde ""Gepflegt """,9.290 €,234.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,01/2011,5,4/5,Euro5,Kombi,-1,-1
Mercedes-Benz R 280 CDI 4-Matic AHK PDC Navi 6 Sitze Xenon,9.200 €,161.500 km,2.987 cm³,140 kW (190 PS),Diesel,Automatik,-1,07/2007,6,4/5,-1,SUV / Geländewagen / Pickup,3,Unfallfrei
Mercedes-Benz C 180 T CGI BlueEff Avantgarde LMF SHZ AHK NAVI,10.699 €,128.500 km,1.595 cm³,115 kW (156 PS),Benzin,Schaltgetriebe,-1,06/2012,5,4/5,Euro5,Kombi,2,Unfallfrei
Mercedes-Benz C 180 CGI Lim. BlueEff AVANTGARDE SHZ PDC AHK,11.000 €,124.000 km,1.595 cm³,115 kW (156 PS),Benzin,Schaltgetriebe,-1,10/2012,5,4/5,Euro5,Limousine,2,Unfallfrei
Mercedes-Benz C 250 CGI Automatik BlueEFFICIENCY Avantgarde to,8.500 €,190.000 km,1.796 cm³,150 kW (204 PS),Benzin,Automatik,-1,11/2010,5,4/5,Euro5,Limousine,2,-1
Mercedes-Benz C 200 T CDI BE Avantgarde/Autom./Parktronic/DPF,8.000 €,202.977 km,2.143 cm³,100 kW (136 PS),Diesel,Automatik,-1,10/2010,5,4/5,Euro5,Kombi,3,Unfallfrei
Mercedes-Benz Mercedes c,10.500 €,143.000 km,-1,135 kW (184 PS),Benzin,Automatik,-1,05/2009,-1,-1,-1,Andere,-1,-1
Mercedes-Benz E -Klasse Lim. E 200 Kompressor Avandgarde,8.499 €,136.000 km,1.796 cm³,135 kW (184 PS),Benzin,Automatik,-1,03/2007,5,4/5,Euro4,Limousine,1,Unfallfrei
Mercedes-Benz C -Klasse T-Modell C 220 T CDI,8.699 €,178.000 km,2.148 cm³,125 kW (170 PS),Diesel,Schaltgetriebe,-1,04/2009,5,4/5,-1,Kombi,1,Unfallfrei
Mercedes-Benz C -Klasse Lim. C 180 Kompressor NAVI/AHK/Bluetoo,9.499 €,141.000 km,1.597 cm³,115 kW (156 PS),Benzin,Automatik,-1,05/2009,5,4/5,-1,Limousine,-1,Unfallfrei
