carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz G 350 d Professional Stdhzg AHK Xenon Sitzh,101.448 € (Brutto),11.447 km,2.987 cm³,180 kW (245 PS),Diesel,Automatik,-1,12/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz AMG GT Night-Paket Automatik COMAND DISTRONIC,98.975 € (Brutto),47.140 km,3.982 cm³,350 kW (476 PS),"Benzin, E10-geeignet",Automatik,-1,05/2018,2,2/3,Euro6,Cabrio / Roadster,1,Unfallfrei
Mercedes-Benz S63 Long AMG 4MATIC VOLLAUSSTATTUNG,98.000 €,19.500 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,10/2018,5,4/5,-1,Limousine,1,-1
Mercedes-Benz S 65 AMG COUPE V12 EXCLUSIV PAKET,100.900 € (Brutto),78.000 km,5.980 cm³,463 kW (630 PS),Benzin,Automatik,-1,12/2014,4,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz G 350 d,98.480 € (Brutto),24.142 km,2.987 cm³,180 kW (245 PS),Diesel,Automatik,2016,11/2016,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz AMG GT S Comand*Burmester*PerfAbgasan.*Pano*Park,110.750 € (Brutto),20.423 km,3.982 cm³,384 kW (522 PS),Benzin,Automatik,-1,05/2020,2,2/3,Euro6d-TEMP,"Sportwagen / Coupé, Jahreswagen",1,Unfallfrei
Mercedes-Benz GLS 400 d 4M AMG-Sport/Navi/Wide/Pano/Burm/HUD,95.282 € (Brutto),25.000 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,01/2020,7,4/5,Euro6d,"SUV / Geländewagen / Pickup, Jahreswagen",1,Unfallfrei
Mercedes-Benz GLC -Klasse Coupe 63 S AMG 4Matic/VOLL//SOFORT//,99.800 € (Brutto),9.000 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,09/2020,5,4/5,Euro6d-TEMP,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz G 63 AMG designo Exkl-Paket Fondent Stdhzg SHD,95.292 € (Brutto),64.853 km,5.461 cm³,420 kW (571 PS),"Benzin, E10-geeignet",Automatik,-1,12/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz GLS 400 d 4M AMG Fahrass WideScreen 360° Stdhzg,99.900 € (Brutto),3.000 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,11/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
